year,numb,
201901,0,,
201902,0,,
201903,0,,
201904,0,,
201905,0,,
201906,0,,
201907,0,,
201908,0,,
201909,0,,
201910,0,,
201911,0,,
201912,0,,
201913,0,,
201914,0,,
201915,0,,
201916,0,,
201917,0,,
201918,0,,
201919,0,,
201920,0,,
201921,0,,
201922,0,,
201923,0,,
201924,0,,
201925,0,,
201926,0,,
201927,0,,
201928,0,,
201929,0,,
201930,0,,
201931,0,,
201932,0,,
201933,0,,
201934,0,,
201935,0,,
201936,0,,
201937,0,,
201938,0,,
201939,0,,
201940,0,,
201941,0,,
201942,0,,
201943,0,,
201944,0,,
201945,0,,
201946,0,,
201947,0,,
201948,0,,
201949,0,,
201950,0,,
201951,0,,
201952,0,,
202001,0,,
202002,1,,
202003,0,,
202004,9,,
202005,11,,
202006,7,,
202007,1,,
202008,6,,
202009,10,,
202010,19,,
202011,82,,
202012,136,,
202013,80,,
202014,34,,
202015,9,,
202016,22,,
202017,5,,
202018,4,,
202019,5,,
202020,1,,
202021,2,,
202022,1,,
202023,1,,
202024,0,,
202025,4,,
202026,1,,
202027,1,,
202028,3,,
202029,11,,
202030,6,,
202031,9,,
202032,5,,
202033,4,,
202034,1,,
202035,3,,
202036,5,,
202037,6,,
202038,9,,
202039,4,,
202040,4,,
202041,14,,
202042,14,,
202043,7,,
202044,16,,
202045,17,,
202046,23,,
202047,16,,
202048,49,,
202049,43,,
202050,24,,
202051,21,,
202052,0,,
